StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,FMSY,RecruitmentLength,FLim,MSYBtrigger,Fmanagement,Bmanagement,Fpa,FLength,Fcap,ConfidenceIntervalDefinition
cod.27.5b2,2019,13248,2313,169081,,,,,,,,,,,,,,na
cod.27.6a,2019,12995,2316,169088,14000,1,2-5,20000,0.29,,0.77,20000,,,0.55,,,95% CI
cod.27.7a,2019,12938,2365,169085,,0,,,,,,,,,,,,NA
cod.27.7e-k,2019,12980,2311,169078,7300,1,2-5,10300,0.353,,0.807,10300,,,0.5764,,,NA
cyo.27.nea,2019,13051,2317,169091,,,,,,,,,,,,,,NA
dab.27.3a4,2019,13184,2319,169093,,,,,,,,,,,,,,95%
ele.2737.nea,2019,13226,2329,169095,,,,,,,,,,,,,,NA
fle.27.2223,2019,10399,2253,169096,,,,,,,,,,,,,,na
fle.27.2425,2019,10395,2286,169097,,,,,,,,,,,,,,na
fle.27.3a4,2019,12954,2386,169100,,,,,,,,,,,,,,sd
gag.27.nea,2019,13048,2321,169101,,,,,,,,,,,,,,NA
ghl.27.1-2,2019,12920,2323,169103,,1,,500000,,,,,,,,,,na
ghl.27.561214,2019,11511,2324,169104,0.3,,,,1,,1.7,0.5,,,,,,na
guq.27.nea,2019,13052,2326,169106,,,,,,,,,,,,,,NA
gur.27.3-8,2019,13132,2274,169107,,,,,,,,,,,,,,NA
had.27.1-2,2019,12960,2328,169110,50000,3,4-7,80000,0.35,,0.77,80000,0.35,80000,0.47,,,95%
had.27.46a20,2019,12946,2266,169108,94000,0,2-4,132000,0.19,,0.39,132000,,,0.28,,,2*sd
had.27.46a20,2019,13204,2266,169108,94000,0,2-4,132000,0.19,,0.39,132000,,,0.28,,,2*sd
had.27.5a,2019,10483,2151,169112,35500,2,,,,,,,,,,,,na
had.27.5b,2019,13256,2383,169111,16780,1,3-7,22843,0.165,,0.54,22843,,,0.4,,,95%
had.27.6b,2019,13108,2367,169114,2474,1,2-5,3712,0.168,,1.06,3712,0.168,3712,0.71,,,NA
had.27.7a,2019,12969,2363,169113,2994,0,2-4,4160,0.28,,0.53,4280,,,0.38,,,CV
had.27.7b-k,2019,12976,2327,169109,6700,0,3-5,10000,0.4,,1.41,10000,,,0.89,,,95%
her.27.1-24a514a,2019,13087,2152,169123,2500000,2,5-12+,3184000,0.157,,0.291,3184000,0.14,3184000,0.227,,,95%
her.27.20-24,2019,12592,2375,169118,120000,0,3-6,150000,0.31,,0.45,150000,,,0.35,,,na
her.27.25-2932,2019,10408,2156,169115,430000,1,3-6,600000,0.22,,0.52,600000,0.22,,0.41,,,na
her.27.28,2019,10404,2153,169124,40800,1,,57100,0.32,,0.88,60000,,,0.63,,,na
her.27.3031,2019,12738,2341,169673,,1,3-7,,,,,,,,,,,na
her.27.3a47d,2019,10365,2376,169119,800000,0,2-6,900000,0.26,,0.34,1400000,,,0.3,,,na
her.27.5a,2019,12899,2154,169125,,3,,,0.22,,0.61,,,,0.45,,,NA
her.27.6a7bc,2019,10348,2295,169120,,1,,,,,,,,,,,,na
her.27.irls,2019,10329,2374,169121,34000,1,2-5,54000,0.26,,0.45,54000,,,0.27,,,na
her.27.nirs,2019,10343,2366,169122,8500,1,4-6,11831,0.266,,0.397,11831,,,0.286,,,na
hke.27.3a46-8abd,2019,13059,2155,169126,40000,0,,56000,0.27,,0.84,56000,,,0.6,15-80,,95%
hke.27.8c9a,2019,12760,2296,169127,8000,0,1-3,11100,0.25,,1.05,11100,,,0.75,,,na
hom.27.2a4a5b6a7a-ce-k8,2019,13097,2350,169130,834480,0,1-10,1168272,0.074,,0.103,1168272,,,0.074,,,95%
hom.27.3a4bc7d,2019,13147,2351,169128,,,,,,,,,,,,,,95%
hom.27.9a,2019,13062,2345,169129,103000,0,2-10,181000,0.11,,0.19,181000,,,0.11,,,95%
ldb.27.7b-k8abd,2019,12853,2357,169785,,,,,,,,,,,,,,other_Specify "Other" here
ldb.27.8c9a,2019,12893,2131,169140,3300,0,2-4,4600,0.193,,0.57,4600,,,0.41,,,NA
lem.27.3a47d,2019,13003,2387,169132,,1,3-5,,,,,,,,,,,90%
lez.27.4a6a,2019,12855,2129,169138,0.3,,,0.5,1,,,0.5,,,,,,95%
lez.27.6b,2019,13168,2130,169139,,,,,1,,,0.5,,,,,,95%
lin.27.1-2,2019,12907,2125,169133,,,,,,,,,,,,,,95%
lin.27.3a4a6-91214,2019,12911,2128,169136,,,,,,,,,,,,,,95%
lin.27.5a,2019,12664,2127,169135,7090,3,,9930,,,,9930,,,,,,na
lin.27.5b,2019,12728,2126,169134,,,,,,,,,,,,,,na
mac.27.nea,2019,10375,2349,169137,1990000,0,4-8,2500000,0.23,,0.46,2500000,,,0.37,,,na
mac.27.nea,2019,13094,2349,169137,1990000,0,4-8,2500000,0.23,,0.46,2500000,,,0.37,,,95%
meg.27.7b-k8abd,2019,13001,2132,169141,37000,1,3-6,41800,0.191,,0.53,41800,0.191,,0.45,,,95%
meg.27.8c9a,2019,12956,2133,169142,700,1,,980,0.191,,0.45,980,,,0.32,,,NA
mon.27.78abd,2019,12991,2371,195876,16032,0,3-6,22278,0.28,,0.53,22278,0.28,,0.36,,,95%
mon.27.8c9a,2019,13044,2370,169056,1993,0,,2769,0.24,,0.56,6283,0.24,,0.4,30-130,,95%
mur.27.3a47d,2019,12936,2283,169143,,,,,,,,,,,,,,NA
nep.fu.11,2019,13156,2135,169146,,,,,10.8,,,540,,,,,,2*sd
nep.fu.12,2019,13199,2136,169147,,,,,11.7,,,1020,,,,,,2*sd
nep.fu.13,2019,13200,2137,169148,,,,,15.1,,,580,,,,,,2*sd
nep.fu.14,2019,13203,2138,169149,,,,,11,,,350,,,,,,95%
nep.fu.15,2019,13232,2139,169150,,,,,18.2,,,3000,,,,,,0.95
nep.fu.16,2019,13224,2140,169151,,,,,6.2,,,,,,,,,95%
nep.fu.17,2019,13138,2141,169152,,,,,8.5,,,540,,,,,,95%
nep.fu.19,2019,13225,2142,169153,,,,,9.3,,,430,,,,,,95%
nep.fu.2021,2019,13215,2356,169154,,,,,6,,,,,,,,,95%
nep.fu.22,2019,13145,2199,169155,,,,,12.8,,,990,,,,,,95%
nep.fu.2324,2019,13194,2200,169156,,0,,,7.7,,,,,,,,,95%
nep.fu.25,2019,12992,2201,169157,,,,,,,,,,,,,,na
nep.fu.2627,2019,12727,2202,169158,,,,,0.16,,,,,,,,,na
nep.fu.2829,2019,12764,2203,169159,,,,,1,,,,,,,,,na
nep.fu.3-4,2019,12886,2208,169165,,,,,7.9,,,,,,,,,NA
nep.fu.30,2019,13222,2204,169160,,,,,,,,,,,,,,0.95
nep.fu.31,2019,12923,2205,169161,,,,,,,,,,,,,,NA
nep.fu.33,2019,11501,2207,169163,,,,,,,,,,,,,,na
nep.fu.6,2019,10454,2210,169167,,,,,8.12,,,858,,858,,,,na
nep.fu.6,2019,13213,2210,169167,,,,,8.12,,,858,,858,,,,95%
nep.fu.7,2019,10452,2211,169168,,,,,7.5,,,2.767,,,,,,na
nep.fu.7,2019,13219,2211,169168,,,,,7.5,,,2.767,,,,,,2*sd
nep.fu.8,2019,10447,2212,169169,,,,,16.3,,,292,,,,,,na
nep.fu.8,2019,13220,2212,169169,,,,,16.3,,,292,,,,,,2*sd
nep.fu.9,2019,10450,2213,169170,,,,,11.8,,,262,,,,,,na
nop.27.3a4,2019,13166,2285,169174,39450,0,1-2,65000,,,,,,,,,,95%
pil.27.7,2019,13283,2347,194229,,,,,,,,,,,,,,na
pil.27.8abd,2019,13288,2348,194230,56300,0,,78700,0.453,,0.757,78700,,,0.539,,,95%
pil.27.8c9a,2019,13273,2346,169255,196334,0,2-5,252523,0.032,,0.156,252523,,,0.118,,,95%
pil.27.8c9a,2019,13842,2346,169255,196334,0,2-5,252523,0.032,,0.156,252523,,,0.118,,,95%
ple.27.21-23,2019,13106,2143,169180,4077,1,3-5,5550,0.37,,1.01,5550,,,0.69,,,na
ple.27.24-32,2019,10416,2144,169181,,1,2-5,,,,,,,,,,,na
ple.27.420,2019,12696,2353,169189,207288,1,2-6,290203,0.21,,0.516,564599,,,0.369,,,na
ple.27.420,2019,13217,2353,169189,207288,1,2-6,290203,0.21,,0.516,564599,,,0.369,,,2*sd
ple.27.7a,2019,12868,2364,169188,3958,1,3-6,5294,0.196,,0.495,8757,,,0.355,,,2*sd
ple.27.7d,2019,11534,2149,169186,18448,1,,25826,0.25,,0.5,25826,,,0.36,,,na
ple.27.7e,2019,12943,2150,169187,0.471497375691541,2,3-6,0.660096325968157,0.478996800495407,,0.88,0.660096325968157,,,1.26793270719372,,,NA
ple.27.7fg,2019,12780,2148,169185,,,,,1,,,0.5,,,,,,na
ple.27.7h-k,2019,13005,2146,169183,1.25456850796147,4,4-6,1.7433497149597,0.349325646041388,,0.436,1.7433497149597,,,0.414907855451457,,,NA
ple.27.89a,2019,12641,2147,169184,,,,,,,,,,,,,,na
pok.27.1-2,2019,11564,2189,169238,136000,3,4-7,220000,,,0.58,,0.32,220000,0.35,,,na
pok.27.3a46,2019,12583,2188,169237,107297,3,4-7,149098,0.363,,0.62,149098,,,0.446,,,na
pok.27.5a,2019,12988,2250,169240,44000,3,4-9,,,,,,,,,,,NA
pok.27.5b,2019,13265,2381,169239,29571,3,4-8,41400,0.3,,0.7,41400,,,0.52,,,95%
pol.27.67,2019,12790,2159,169191,,,,,,,,,,,,,,na
pol.27.89a,2019,12993,2158,169190,,,,,,,,,,,,,,na
por.27.nea,2019,13039,2161,169193,,,,,,,,,,,,,,na
pra.27.1-2,2019,13261,2216,169177,0.3,,,,1,,1.7,0.5,,,,,,90%
pra.27.3a4a,2019,10367,2355,169179,6300,0,1-3,9900,0.6,,1,9900,0.59,9900,0.68,,,na
pra.27.4a,2019,13289,2217,169178,,,,,,,,,,,,,,NA
raj.27.1012,2019,13034,2165,169197,,,,,,,,,,,,,,95%
raj.27.3a47d,2019,13014,2162,169194,,,,,,,,,,,,,,NA
reb.2127.dp,2019,13178,2223,169264,0.902490885668766,5,,1.2625185556225,0.131317602569064,,0.057,1.2625185556225,,,0.131317602569064,,,NA
reb.2127.sp,2019,11558,2225,169266,,,,,,,,,,,,,,na
reb.27.14b,2019,10489,2224,169265,,,,,,,,,,,,,,na
reb.27.5a14,2019,10492,2222,169263,,,,,,,,,,,,,,na
reg.27.561214,2019,12940,2226,169267,160000,5,9-19,220000,0.097,,0.226,220000,0.097,220000,0.163,,,NA
reg.27.561214,2019,13333,2226,169267,160000,5,9-19,220000,0.097,,0.226,220000,0.097,220000,0.163,,,NA
rja.27.nea,2019,13027,2273,169199,,,,,,,,,,,,,,NA
rjb.27.3a4,2019,13018,2267,169200,,,,,,,,,,,,,,NA
rjc.27.3a47d,2019,13100,2268,169203,,,,,,,,,,,,,,NA
rjh.27.4a6,2019,13011,2260,169212,,,,,,,,,,,,,,2.5%. 97.5%
rjh.27.4c7d,2019,13136,2269,169213,,,,,,,,,,,,,,NA
rjm.27.3a47d,2019,13067,2179,169218,,,,,,,,,,,,,,NA
rjn.27.3a4,2019,13022,2271,169223,,,,,,,,,,,,,,NA
rjr.27.23a4,2019,13024,2272,169227,,,,,,,,,,,,,,NA
rng.27.1245a8914ab,2019,12718,2187,169236,,,,,,,,,,,,,,na
rng.27.5a10b12ac14b,2019,12629,2184,169233,,,,,,,,,,,,,,na
sal.27.22-31,2019,12871,2339,169241,,,,,,,,,,,,,,90%
sal.27.32,2019,12808,2340,169242,,,,,,,,,,,,,,na
san.sa.1r,2019,10322,2191,169246,110000,0,1-2,145000,,,,,,,,,,na
san.sa.2r,2019,10323,2192,169247,56000,0,1-2,84000,,,,,,,,,0.44,na
san.sa.3r,2019,10321,2193,169248,80000,0,1-2,129000,,,,,,,,,0.29,na
san.sa.4,2019,10320,2194,169249,48000,0,1-2,102000,,,,,,,,,0.15,na
san.sa.5r,2019,10310,2195,169250,,,,,,,,,,,,,,na
san.sa.6,2019,10311,2196,169251,,,,,,,,,,,,,,na
san.sa.7r,2019,10312,2197,169252,,,,,,,,,,,,,,na
sbr.27.10,2019,12909,2220,169258,,,,,,,,,,,,,,95%
sck.27.nea,2019,13049,2221,169259,,,,,,,,,,,,,,NA
sdv.27.nea,2019,13102,2241,169290,,,,,,,,,,,,,,NA
sho.27.67,2019,13054,2264,169261,,,,,,,,,,,,,,NA
sho.27.89a,2019,13130,2259,169260,,,,,,,,,,,,,,na
sol.27.20-24,2019,10426,2234,169277,1850,1,4-8,2600,0.23,,0.315,2600,,,0.23,,,na
sol.27.4,2019,11568,2235,169278,26300,1,,37000,0.2,,0.62,37000,,,0.44,,,na
sol.27.4,2019,13207,2235,169278,26300,1,,37000,0.2,,0.62,37000,,,0.44,,,2*sd
sol.27.7a,2019,12903,2233,169276,2500,2,4-7,3500,0.2,,0.29,3500,,,0.21,,,NA
sol.27.7d,2019,13195,2354,169274,0.667082113018288,1,3-7,0.933890173454547,0.553579290648609,,1.21383792376596,0.933890173454547,0.553579290648609,,0.864967641638451,,,NA
sol.27.7e,2019,12765,2232,169275,2000,2,3-9,2900,0.29,,0.44,2900,,,0.32,,,na
sol.27.7fg,2019,12877,2231,169273,1592,1,4-8,2228,0.297,,0.587,2228,,,0.42,,,NA
sol.27.7h-k,2019,13006,2228,169270,0.798760963385772,3,3-6,1.10886816093554,0.679324894514768,,0.222,1.10886816093554,,,0.675105485232067,,,NA
sol.27.8ab,2019,12958,2230,169272,7600,2,3-6,10600,0.33,,0.6,10600,,,0.43,,,NA
sol.27.8c9a,2019,12880,2229,169271,,,,,,,,,,,,,,NA
spr.27.22-32,2019,12942,2236,169279,410000,1,3-5,570000,0.26,,0.39,570000,,,0.32,,,na
spr.27.3a4,2019,10361,1857,197909,94000,0,,125000,,,,,,,,,0.69,na
spr.27.67a-cf-k,2019,10347,2297,169280,,,,,,,,,,,,,,na
spr.27.7de,2019,10351,2390,169281,,,,,,,,,,,,,,na
syc.27.3a47d,2019,13103,2237,169284,,,,,,,,,,,,,,NA
syc.27.67a-ce-j,2019,13047,2240,169287,,,,,,,,,,,,,,NA
syc.27.8abd,2019,13120,2239,169286,,,,,,,,,,,,,,CI
syc.27.8c9a,2019,13128,2238,169285,,,,,,,,,,,,,,sd
syt.27.67,2019,13109,2265,169288,,,,,,,,,,,,,,95%
trs.27.22-32,2019,12866,2242,169291,,,,,,,,,,,,,,NA
tur.27.3a,2019,11581,2282,169294,,,,,,,,,,,,,,na
tur.27.4,2019,11537,2359,169295,2974,1,2-6,4163,0.36,,0.61,6353,,,0.43,,,na
usk.27.1-2,2019,12740,2244,169296,,,,,,,,,,,,,,na
usk.27.12ac,2019,12749,2246,169298,,,,,,,,,,,,,,na
usk.27.3a45b6a7-912b,2019,12766,2247,169299,,,,,,,,,,,,,,na
usk.27.5a14,2019,12966,2245,169297,4460,3,,6240,,,,6240,,,,,,na
whb.27.1-91214,2019,13090,2249,169301,1500000,1,3-7,2250000,0.32,,0.88,2250000,0.32,2250000,0.53,,,95%
whg.27.3a,2019,11499,2278,169306,,,,,,,,,,,,,,na
whg.27.47d,2019,11587,2384,169302,119970,0,2-6,166708,0.172,,0.458,166708,,,0.33,,,na
whg.27.7a,2019,12975,2362,169305,10000,0,1-3,16300,0.219,,0.371,16300,,,0.225,,,95%
whg.27.7b-ce-k,2019,12990,2251,169303,25000,0,2-5,35000,0.52,,1.12,35000,,,0.8,,,NA
whg.27.89a,2019,12898,2252,169304,,,,,,,,,,,,,,NA
wit.27.3a47d,2019,12955,2385,169309,3069,1,4-8,4745,0.154,,0.3,4745,,,0.2,,,95%
