StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,FMSY,RecruitmentLength,FLim,MSYBtrigger,Fmanagement,Bmanagement,Fpa,FLength,Fcap,confidenceIntervalDefinition
had.27.1-2,2020,13429,2662,169110,50000,3,4-7,80000,0.35,,0.77,80000,0.35,80000,0.47,,,95%
had.27.46a20,2020,13515,2536,169108,94000,0,2-4,132000,0.19,,0.39,132000,,,0.28,,,2*sd
had.27.5b,2020,14021,2642,169111,16780,1,3-7,22843,0.165,,0.54,22843,,,0.4,,,95%
had.27.6b,2020,13750,2625,169114,2474,1,,3712,0.168,,1.06,3712,0.168,3712,0.71,,,NA
had.27.7a,2020,13678,2621,169113,2994,0,2-4,4160,0.28,,0.53,4280,,,0.38,,,CV
had.27.7b-k,2020,13978,2589,169109,9227,0,3-5,12822,0.353,,1.4,12822,,,0.71,,,95%
her.27.1-24a514a,2020,13883,2503,169123,2500000,2,5-12+,3184000,0.157,,0.291,3184000,0.14,3184000,0.227,,,95%
her.27.20-24,2020,13313,2635,169118,120000,0,3-6,150000,0.31,,0.45,150000,,,0.35,,,95%
her.27.25-2932,2020,13344,2396,169115,330000,1,3-6,460000,0.21,,0.59,460000,0.21,460000,0.43,,,NA
her.27.28,2020,13351,2504,169124,40800,1,3-7,57100,0.32,,0.88,60000,,,0.63,,,NA
her.27.3031,2020,13375,2602,169673,,,,,,,,,,,,,,NA
her.27.3031,2020,14586,2602,169673,376571,0,3-7,533515,0.271,,0.496,533515,,,0.272,,,90%
her.27.3a47d,2020,13422,2636,169119,800000,0,2-6,900000,0.26,,0.34,1400000,,,0.3,,,tst
her.27.6a7bc,2020,13329,2657,169120,,,,,,,,,,,,,,95%
her.27.irls,2020,13746,2634,169121,34000,1,2–5,54000,0.26,,0.45,54000,,,0.27,,,95%
her.27.nirs,2020,13330,2624,169122,8500,1,4-6,11831,0.266,,0.397,11831,,,0.286,,,CV
hke.27.3a46-8abd,2020,14565,2658,169126,40000,0,,56000,0.26,,0.84,56000,0.26,,0.6,15-80 cm,,2*sd
hke.27.8c9a,2020,13760,2560,169127,,,,,,,,,,,,,,95%
hom.27.2a4a5b6a7a-ce-k8,2020,13894,2609,169130,834480,0,1-10,1168272,0.074,,0.103,1168272,,,0.074,,,95%
hom.27.9a,2020,13738,2604,169129,103000,0,2-10,181000,0.11,,0.19,181000,,,0.11,,,0.95
jaa.27.10a2,2020,14047,2397,169131,,,,,,,,,,,,,,NA
ldb.27.7b-k8abd,2020,13736,2615,169785,,,,,,,,,,,,,,NA
ldb.27.8c9a,2020,13594,2482,169140,3300,0,,4600,0.193,,0.57,4600,,,0.41,,,NA
lem.27.3a47d,2020,13498,2646,169132,,1,3-5,,,,,,,,,,,90%
lez.27.4a6a,2020,13757,2480,169138,0.3,,,0.5,1,,,0.5,,,,,,95%
lez.27.6b,2020,14009,2481,169139,,,,,1,,,,,,,,,95%
mac.27.nea,2020,13884,2608,169137,2000000,0,4-8,2580000,0.26,,0.46,2580000,,,0.36,,,95%
meg.27.7b-k8abd,2020,13602,2483,169141,37000,1,3-6,41800,0.191,,0.53,41800,0.191,,0.45,,,95%
meg.27.8c9a,2020,13597,2484,169142,700,1,,980,0.191,,0.45,980,,,0.32,,,NA
mon.27.78abd,2020,13867,2629,195876,16032,0,3-6,22278,0.28,,0.53,22278,0.28,,0.36,,,sd
mon.27.8c9a,2020,13629,2628,169056,1993,0,,2769,0.24,,0.56,6283,0.24,6283,0.4,30-130 cm,,0.95
mur.27.67a-ce-k89a,2020,13887,2549,169144,,,,,,,,,,,,,,na
nep.27.4outFU,2020,13964,2591,169171,,,,,,,,,,,,,,NA
nep.27.6aoutFU,2020,13942,2592,169172,,,,,,,,,,,,,,NA
nep.27.7outFU,2020,13927,2593,169173,,,,,,,,,,,,,,NA
nep.fu.10,2020,13994,2485,169145,,,,,,,,,,,,,,2*sd
nep.fu.11,2020,13915,2486,169146,,,,,10.8,,,540,,,,,,2*sd
nep.fu.12,2020,13903,2487,169147,,,,,11.7,,,1020,,,,,,2*sd
nep.fu.13,2020,13990,2488,169148,,,,,15.1,,,580,,,,,,2*sd
nep.fu.14,2020,13953,2489,169149,,,,350,11,,,350,11,350,11,,,95%
nep.fu.15,2020,13923,2490,169150,,,,,18.2,,,3000,,,,,,95%
nep.fu.16,2020,13909,2491,169151,,,,,6.2,,,,,,,,,95%
nep.fu.17,2020,13905,2492,169152,,,,,8.5,,,540,,,,,,95%
nep.fu.19,2020,14024,2493,169153,,,,,9.3,,,430,,,,,,95%
nep.fu.2021,2020,13914,2614,169154,,,,,6,,,,,,,,,95%
nep.fu.22,2020,13911,2439,169155,,,,,12.8,,,990,,,,,,95%
nep.fu.2324,2020,13960,2440,169156,,,,,7.7,,,,,,,,,95%
nep.fu.3-4,2020,14583,2448,169165,,,,,7.9,,,,,,,,,95%
nep.fu.30,2020,13944,2444,169160,,,,,,,,,,,,,,0.95
nep.fu.32,2020,13974,2446,169162,,,,,,,,,,,,,,NA
nep.fu.33,2020,14006,2447,169163,,,,,,,,,,,,,,95%
nep.fu.34,2020,13995,2632,169164,,,,,,,,,,,,,,2*sd
nep.fu.5,2020,14010,2449,169166,,,,,7.5,,,,,,,,,NA
nep.fu.6,2020,13968,2450,169167,,,,,8.12,,,858,,858,,,,95%
nep.fu.7,2020,13969,2451,169168,,,,,7.5,,,2.767,,,,,,2*sd
nep.fu.8,2020,13970,2452,169169,,,,,16.3,,,292,,,,,,2*sd
nep.fu.9,2020,13971,2453,169170,,,,,11.8,,,262,,,,,,2*sd
nop.27.3a4,2020,13954,2550,169174,42573,0,1-2,69736,,,,,,,,,,95%
ory.27.nea,2020,13446,2455,169176,,,,,,,,,,,,,,NA
pil.27.8abd,2020,14049,2607,194230,56300,0,,78700,0.453,,0.757,78700,,,0.539,,,95%
pil.27.8c9a,2020,13729,2605,169255,196334,0,2-5,252523,0.032,,0.156,252523,,,0.118,,,95%
ple.27.21-23,2020,13700,2494,169180,3635,1,3-5,4730,0.31,,1,4730,,,0.74,,,95%
ple.27.24-32,2020,13395,2495,169181,,,,,,,,,,,,,,other_Specify "Other" here
ple.27.420,2020,13484,2612,169189,207288,1,2-6,290203,0.21,,0.516,564599,,,0.369,,,2*sd
ple.27.420,2020,14396,2612,169189,207288,1,2-6,290203,0.21,,0.516,564599,,,0.369,,,2*sd
ple.27.7a,2020,13576,2622,169188,3958,1,3-6,5294,0.196,,0.495,8757,,,0.355,,,2*sd
ple.27.7bc,2020,13550,2496,169182,,,,,,,,,,,,,,NA
ple.27.7d,2020,13744,2500,169186,18448,1,,25826,0.25,,0.5,25826,,,0.36,,,Specify "Other" here
ple.27.7e,2020,13480,2501,169187,0.477574778551355,2,3-6,0.668604689971897,0.481072913876831,,0.88,0.668604689971897,,,1.27342830143867,,,NA
ple.27.7fg,2020,13758,2499,169185,,,,,1,,,0.5,,,,,,95%
pok.27.1-2,2020,13697,2429,169238,136000,3,4-7,220000,,,0.58,,0.32,220000,0.35,,,other
pok.27.3a46,2020,13511,2428,169237,107297,3,4-7,149098,0.363,,0.62,149098,,,0.446,,,95%
pok.27.5b,2020,14029,2640,169239,29571,3,4-8,41400,0.3,,0.7,41400,,,0.3,,,95%
pol.27.67,2020,13591,2399,169191,,,,,,,,,,,,,,NA
pra.27.1-2,2020,14013,2456,169177,0.3,,,,1,,1.7,0.5,,,,,,80%
pra.27.3a4a,2020,13308,2613,169179,6300,0,1-3,9900,0.6,,1,9900,0.59,9900,0.68,,,90%
raj.27.67a-ce-h,2020,13854,2404,169196,,,,,,,,,,,,,,na
raj.27.89a,2020,13859,2403,169195,,,,,,,,,,,,,,na
reb.27.1-2,2020,13698,2638,169262,227000,2,19+,315000,,,,315000,,,,,,95%
reb.27.14b,2020,13332,2464,169265,,,,,,,,,,,,,,95%
reg.27.1-2,2020,13727,2654,169268,49000,3,15+,68600,0.0525,,,,,,,,,NA
reg.27.561214,2020,13339,2466,169267,160000,5,9-19,220000,0.097,,0.226,220000,0.097,220000,0.163,,,NA
rhg.27.nea,2020,13509,2553,169198,,,,,,,,,,,,,,NA
rjb.27.67a-ce-k,2020,13830,2407,169202,,,,,,,,,,,,,,NA
rjb.27.89a,2020,13860,2406,169201,,,,,,,,,,,,,,na
rjc.27.6,2020,13775,2412,169208,,,,,,,,,,,,,,95%
rjc.27.7afg,2020,13888,2408,169204,,,,,,,,,,,,,,50% CI
rjc.27.7e,2020,13779,2410,169206,,,,,,,,,,,,,,na
rjc.27.8,2020,13822,2409,169205,,,,,,,,,,,,,,NA
rjc.27.9a,2020,13869,2411,169207,,,,,,,,,,,,,,na
rje.27.7de,2020,13861,2414,169210,,,,,,,,,,,,,,na
rje.27.7fg,2020,13862,2413,169209,,,,,,,,,,,,,,95%
rjf.27.67,2020,13785,2415,169211,,,,,,,,,,,,,,na
rjh.27.7afg,2020,13781,2416,169214,,,,,,,,,,,,,,na
rjh.27.7e,2020,13841,2540,169215,,,,,,,,,,,,,,NA
rjh.27.9a,2020,13891,2417,169216,,,,,,,,,,,,,,95%
rji.27.67,2020,13839,2418,169217,,,,,,,,,,,,,,na
rjm.27.67bj,2020,13782,2531,169219,,,,,,,,,,,,,,95%
rjm.27.7ae-h,2020,13836,2532,169220,,,,,,,,,,,,,,95%
rjm.27.8,2020,13892,2420,169221,,,,,,,,,,,,,,95%
rjm.27.9a,2020,13870,2421,169222,,,,,,,,,,,,,,na
rjn.27.678abd,2020,13893,2546,169224,,,,,,,,,,,,,,NA
rjn.27.8c,2020,13897,2547,169225,,,,,,,,,,,,,,95%
rjn.27.9a,2020,13813,2422,169226,,,,,,,,,,,,,,SE
rju.27.7bj,2020,13896,2533,169228,,,,,,,,,,,,,,NA
rju.27.7de,2020,13899,2423,169232,,,,,,,,,,,,,,95%
rju.27.8ab,2020,13872,2526,169229,,,,,,,,,,,,,,na
rju.27.8c,2020,13801,2527,169230,,,,,,,,,,,,,,NA
rju.27.9a,2020,13840,2528,169231,,,,,,,,,,,,,,NA
rng.27.3a,2020,13465,2426,169235,,,,,,,,,,,,,,se
rng.27.5b6712b,2020,13407,2425,169234,,,,,,,,,,,,,,NA
sal.27.32,2020,13453,2601,169242,,,,,,,,,,,,,,NA
san.sa.1r,2020,13303,2431,169246,110000,0,1-2,145000,,,,,,,,,0.49,90%
san.sa.2r,2020,13301,2432,169247,56000,0,,84000,,,,,,,,,0.44,90%
san.sa.3r,2020,13298,2433,169248,80000,0,,129000,,,,,,,,,0.29,90%
san.sa.4,2020,13304,2434,169249,48000,0,1-2,102000,,,,,,,,,0.15,90%
sbr.27.10,2020,13713,2460,169258,,,,,,,,,,,,,,95%
sbr.27.6-8,2020,13405,2458,169256,,,,,,,,,,,,,,NA
sbr.27.9,2020,13714,2459,169257,,,,,,,,,,,,,,na
sol.27.20-24,2020,13828,2474,169277,1850,1,4-8,2600,0.23,,0.315,2600,,,0.23,,,other_Specify "Other
sol.27.4,2020,13743,2659,169278,30828,1,,42838,0.2072,,0.4196,42838,0.2072,42838,0.3019,,,2*sd
sol.27.7a,2020,13638,2473,169276,2500,2,4-7,3500,0.2,,0.29,3500,,,0.21,,,NA
sol.27.7bc,2020,13627,2467,169269,,,,,,,,,,,,,,NA
sol.27.7d,2020,13495,2660,169274,0.656800432583368,1,3-7,0.919496202851247,0.570006234443189,,1.24985742031553,0.919496202851247,0.570006234443189,,0.890634741317483,,,NA
sol.27.7e,2020,13671,2472,169275,2000,2,3-9,2900,0.29,,0.44,2900,,,0.32,,,NA
sol.27.7fg,2020,13755,2471,169273,2184,1,3-8,3057,0.251,,0.543,3057,,,0.388,,,95%
sol.27.7h-k,2020,13682,2468,169270,,,,,,,,,,,,,,NA
sol.27.8ab,2020,13723,2470,169272,7600,2,3-6,10600,0.33,,0.6,10600,,,0.43,,,NA
spr.27.22-32,2020,13379,2506,169279,410000,1,3-5,570000,0.31,,0.63,570000,0.31,,0.45,,,NA
spr.27.3a4,2020,13322,2475,197909,94000,0,1-2,125000,,,,,,,,,0.69,90%
spr.27.7de,2020,13328,2647,169281,,,,,,,,,,,,,,NA
tsu.27.nea,2020,13504,2557,169292,,,,,,,,,,,,,,NA
tur.27.3a,2020,13756,2661,169294,,,,,,,,,,,,,,95%
tur.27.4,2020,13708,2617,169295,2974,1,,4163,0.36,,0.61,6353,,,0.47,,,95%
usk.27.6b,2020,13456,2518,169300,,,,,,,,,,,,,,Specify "Other" here
whb.27.1-91214,2020,13880,2519,169301,1500000,1,3-7,2250000,0.32,,0.88,2250000,0.32,2250000,0.53,,,95%
whg.27.47d,2020,13525,2643,169302,119970,0,2-6,166708,0.172,,0.458,166708,,,0.33,,,other_Specify "Other" here
whg.27.6a,2020,13759,2631,169308,,1,,,,,,,,,,,,95%
whg.27.7b-ce-k,2020,13993,2521,169303,34516,0,2-5,47963,0.4,,0.89,47963,0.4,47963,0.4,,,95%
wit.27.3a47d,2020,13549,2644,169309,3069,1,4-8,4745,0.154,,0.3,4745,,,0.2,,,95%
