StockKeyLabel,AssessmentYear,AssessmentKey,StockDatabaseID,StockKey,Blim,RecruitmentAge,FAge,Bpa,Fpa,FMSY,MSYBtrigger,Fmanagement,FLim,Bmanagement,RecruitmentLength,FLength,Fcap,ConfidenceIntervalDefinition
her.27.5a,2022,17161,3005,169125,200000,3,,273000,,,273000,,,200000,,,,na
her.27.6aN,2022,17371,3210,251073,,,,,,0.335,,,,,,,,NA
her.27.6aS7bc,2022,17295,3209,251072,,,,,,0.034,,,,,,,,NA
her.27.irls,2022,17248,2994,169121,34000,1,2-5,54000,0.26,0.26,54000,,0.45,,,,,95%
her.27.nirs,2022,17308,3103,169122,8500,1,4-6,11831,0.309,0.266,11831,,0.397,,,,,95%
hke.27.3a46-8abd,2022,17380,3203,169126,61563,0,1-7,78405,0.54,0.24,78405,0.24,0.73,78405,,,,95%
hke.27.8c9a,2022,17392,3204,169127,6011,0,1-7,7556,0.558,0.221,7556,,0.694,,,,,2*sd
hom.27.2a4a5b6a7a-ce-k8,2022,17517,3086,169130,834480,0,1-10,1168272,0.079,0.074,1168272,,0.103,,,,,95%
hom.27.9a,2022,17340,3093,169129,103000,0,2-10,181000,0.15,0.15,181000,,0.19,,,,,95%
jaa.27.10a2,2022,17696,3057,169131,,0,,,,,,,,,,,,na
ldb.27.7b-k8abd,2022,17389,3162,169785,,,,,,,,,,,,,,NA
ldb.27.8c9a,2022,17379,3079,169140,2321,0,,2932,0.46,0.176,2932,,0.56,,,,,2*sd
lem.27.3a47d,2022,17360,2971,169132,,,,,,,,,,,,,,NA
lez.27.4a6a,2022,17324,3120,169138,0.3,,,0.5,,1,0.5,,,,,,,95%
lez.27.6b,2022,17605,3179,169139,0.3,,,,,1,0.5,,1.7,,,,,95%
lin.27.5a,2022,17097,2961,169135,9000,2,8-11,11100,0.62,0.3,11100,0.3,0.95,,,,,95%
lin.27.5b,2022,17113,3182,169134,9340,3,6-10,11627,0.6,0.23,11627,,0.85,,,,,0.95
mac.27.nea,2022,17509,2948,169137,2000000,2,4-8,2580000,0.36,0.26,2580000,,0.46,,,,,95%
meg.27.7b-k8abd,2022,17377,3199,169141,35398,1,3-6,40444,0.43,0.233,40444,0.233,0.591,40444,,,,2*sd
meg.27.8c9a,2022,17378,3200,169142,532,1,2-4,725,0.45,0.173,725,,0.619,,,,,2*sd
mon.27.78abd,2022,17284,3165,195876,23868,0,3-15,28275,0.212,0.192,28275,0.192,,,,,,95%
mon.27.78abd,2022,17651,3165,195876,23868,0,3-15,28275,0.212,0.192,28275,0.192,,,,,,95%
mon.27.8c9a,2022,17235,3201,169056,1993,0,,2769,0.87,0.24,6283,0.24,,6283,,30-130 cm,,95%
nep.27.4outFU,2022,17581,2984,169171,,,,,,,,,,,,,,NA
nep.fu.10,2022,17562,2962,169145,,,,,,,,,,,,,,2*sd
nep.fu.11,2022,17630,3090,169146,,,,,,10.8,540,,,,,,,2*sd
nep.fu.12,2022,17632,3091,169147,,,,,,11.7,1020,,,,,,,2*sd
nep.fu.13,2022,17558,3092,169148,,,,,,15.1,580,,,,,,,2*sd
nep.fu.14,2022,17600,2946,169149,,,,,,11,350,11,,350,,,,95%
nep.fu.15,2022,17641,3128,169150,,,,,,18.2,300000000,,,,,,,95%
nep.fu.16,2022,17548,2972,169151,,,,,,6.2,,,,,,,,95%
nep.fu.17,2022,17565,3050,169152,,,,,,8.5,540,,,,,,,95%
nep.fu.19,2022,17524,3051,169153,,,,,,9.3,430,,,,,,,95%
nep.fu.2021,2022,17544,3143,169154,,,,,,6,450,,,,,,,95%
nep.fu.2021,2022,18162,3143,169154,,,,,,6,450,,,,,,,95%
nep.fu.22,2022,17546,3049,169155,,,,,,12.8,990,,,,,,,95%
nep.fu.2324,2022,17638,3142,169156,,,,,,7.7,,,,,,,,95%
nep.fu.25,2022,17391,3152,169157,0.3,,,,,1,0.5,,1.7,,30,,,95%
nep.fu.2627,2022,17265,3178,169158,0.3,,,,,1,0.5,,1.7,,,,,95%
nep.fu.3-4,2022,17551,3105,169165,,,,,,7.9,,,,,,,,95%
nep.fu.30,2022,17611,3153,169160,,,,,,,,,,,,,,0.95
nep.fu.31,2022,17266,3154,169161,0.3,,,,,1,0.5,,1.7,,35,,,95%
nep.fu.32,2022,17599,3008,169162,,,,,,,,,,,,,,NA
nep.fu.33,2022,17634,3062,169163,,,,,,,,,,,,,,95%
nep.fu.34,2022,17563,2966,169164,,,,,,,,,,,,,,2*sd
nep.fu.5,2022,17582,3080,169166,,,,,,7.5,,,,,,,,NA
nep.fu.6,2022,17583,3081,169167,,,,,,8.12,858,,,858,,,,95%
nep.fu.7,2022,17559,2963,169168,,,,,,7.5,2.767,,,,,,,2*sd
nep.fu.8,2022,17580,2964,169169,,,,,,16.3,292,,,,,,,2*sd
nep.fu.9,2022,17560,2965,169170,,,,,,11.8,262,,,,,,,2*sd
nop.27.3a4,2022,17613,3133,169174,42573,0,1-2,69736,,,,,,,,,,95%
pil.27.7,2022,17689,3163,194229,,,,,,,,,,,,,,2*sd
pil.27.8abd,2022,17682,3164,194230,56300,0,,78700,0.453,0.453,78700,,0.757,,,,,95%
pil.27.8c9a,2022,17697,2944,169255,196334,0,2-5,252523,0.092,0.092,252523,,0.26,,,,,95%
ple.27.21-23,2022,17339,3039,169180,3635,1,3-5,4730,0.81,0.31,4730,,1,,,,,95%
ple.27.24-32,2022,16994,3146,169181,0.3,,,,,1,0.5,,1.7,,,,,95%
ple.27.24-32,2022,18188,3146,169181,0.3,,,,,1,0.5,,1.7,,,,,95%
ple.27.420,2022,17483,2992,169189,341003,1,,473850,0.182,0.152,473850,,0.27,,,,,95%
ple.27.5a,2022,17137,3207,233883,10000,3,5-10,12400,0.46,0.41,,0.3,0.57,12400,,,,95%
ple.27.7a,2022,17283,3045,169188,3958,1,3-6,5294,0.403,0.196,8757,,0.495,,,,,2*sd
ple.27.7d,2022,17357,3095,169186,27174,1,,37761,0.238,0.156,37761,0.156,0.381,37761,,,,2*sd
ple.27.7e,2022,17393,3044,169187,,,,,,,,,,,,,,NA
ple.27.7fg,2022,17404,3150,169185,,,,,,,,,,,,,,NA
ple.27.7h-k,2022,17382,3019,169183,,,,,,,,,,,,,,95%
pok.27.1-2,2022,17349,3159,169238,136000,3,4-7,220000,0.35,,,0.32,0.58,220000,,,,95%
pok.27.3a46,2022,17035,3048,169237,107297,3,4-7,149098,0.576,0.363,149098,0.363,0.668,149098,,,,95%
pok.27.5a,2022,17203,2989,169240,44000,3,,,,,,,,61000,,,,na
pok.27.5b,2022,17678,3089,169239,24990,3,4-8,36412,0.62,0.38,36412,,0.98,,,,,95%
pol.27.67,2022,17213,3112,169191,,,,,,,,,,,,,,NA
por.27.nea,2022,17402,3198,169193,0.333,,,,,1,0.5,,,,,,,95%
pra.27.3a4a,2022,16953,3107,169179,0.605386035,0,,,1.12997249,1,1,,,,,,,90%
raj.27.67a-ce-k,2022,17522,3211,249959,,,,,,,,,,,,,,NA
raj.27.89a,2022,17422,3010,169195,,,,,,,,,,,,,,NA
reb.27.14b,2022,17158,3132,169265,,,,,,,,,,,,,,95%
reb.27.5a14,2022,17141,3071,169263,,,,,,,,,,,,,,95%
reg.27.1-2,2022,17277,2959,169268,49000,3,15+,68600,,,,,,,,,,NA
reg.27.561214,2022,17159,3074,169267,160000,5,9-19,220000,0.163,0.097,220000,0.097,0.226,220000,,,,NA
rjc.27.6,2022,17448,2998,169208,,,,,,,,,,,,,,95%
rjc.27.7afg,2022,17523,3141,169204,,,,,,,,,,,,,,95%
rjc.27.7e,2022,17460,2940,169206,,,,,,,,,,,,,,NA
rjc.27.8abd,2022,17430,3213,252349,0.3,,,,,1,0.5,,1.7,,,,,90%
rjc.27.8c,2022,17481,3212,252350,,,,,,,,,,,,,,se
rjc.27.9a,2022,17547,2979,169207,,,,,,,,,,,,,,NA
rje.27.7de,2022,17405,2942,169210,,,,,,,,,,,,,,NA
rje.27.7fg,2022,17447,2941,169209,,,,,,,,,,,,,,95%
rjf.27.67,2022,17408,3138,169211,,,,,,,,,,,,,,NA
rjh.27.7afg,2022,17407,3139,169214,,,,,,,,,,,,,,NA
rjh.27.7e,2022,17424,2943,169215,,,,,,,,,,,,,,NA
rjh.27.9a,2022,17466,2978,169216,,,,,,,,,,,,,,sd
rji.27.67,2022,17413,2999,169217,,,,,,,,,,,,,,NA
rjm.27.67bj,2022,17480,3002,169219,,,,,,,,,,,,,,95%
rjm.27.7ae-h,2022,17492,3137,169220,,,,,,,,,,,,,,95%
rjm.27.8,2022,17477,3013,169221,,,,,,,,,,,,,,95%
rjm.27.9a,2022,17535,2976,169222,,,,,,,,,,,,,,se
rjn.27.678abd,2022,17701,3195,169224,0.3,,,,,1,0.5,,,,,,,95%
rjn.27.8c,2022,17482,3014,169225,,,,,,,,,,,,,,se
rjn.27.9a,2022,17534,2977,169226,,,,,,,,,,,,,,NA
rju.27.7bj,2022,17538,3003,169228,,,,,,,,,,,,,,NA
rju.27.7de,2022,17647,3196,169232,0.3,,,,,1,0.5,,1.7,,,,,95%
rju.27.8ab,2022,17425,3084,169229,,,,,,,,,,,,,,na
rju.27.8c,2022,17552,2980,169230,,,,,,,,,,,,,,NA
rju.27.9a,2022,17553,2974,169231,,,,,,,,,,,,,,NA
rng.27.3a,2022,17330,3033,169235,,,,,,,,,,,,,,se
rng.27.5b6712b,2022,17002,3076,169234,,,,,,,,,,,,,,NA
san.sa.1r,2022,16936,3185,169246,110000,0,1-2,145000,,,,,,,,,0.49,90%
san.sa.2r,2022,16937,3186,169247,56000,0,1-2,84000,,,,,,,,,0.44,90%
san.sa.3r,2022,16941,3188,169248,80000,0,1-2,129000,,,,,,,,,0.29,90%
san.sa.4,2022,16940,2985,169249,48000,0,1-2,102000,,,,,,,,,0.15,90%
sbr.27.10,2022,17313,3097,169258,,,,,,,,,,,,,,95%
sbr.27.6-8,2022,17309,3011,169256,,,,,,,,,,,,,,NA
sbr.27.9,2022,17332,3063,169257,,,,,,,,,,,,,,NA
sol.27.20-24,2022,16970,3052,169277,1850,1,4-8,2600,0.26,0.26,2600,0.26,0.315,2600,,,,95%
sol.27.4,2022,17030,2993,169278,30828,1,,42838,0.311,0.2072,42838,0.2072,0.4196,42838,,,,2*sd
sol.27.7a,2022,17194,3160,169276,2500,2,4-7,3500,0.22,0.2,3500,,0.29,,,,,NA
sol.27.7d,2022,17499,3183,169274,11181,1,,15654,0.318254,0.2297297,15654,0.2297297,0.3516993,15654,,,,95%
sol.27.7e,2022,17143,3061,169275,2000,2,3-9,2900,0.39,0.29,2900,,0.44,,,,,NA
sol.27.7fg,2022,17180,3161,169273,2184,1,3-8,3057,0.402,0.251,3057,,0.543,,,,,95%
sol.27.7h-k,2022,17298,3022,169270,,,,,,,,,,,,,,NA
sol.27.8ab,2022,17245,3117,169272,7600,2,3-6,10600,0.88,0.33,10600,0.33,,,,,,NA
spr.27.22-32,2022,16975,3176,169279,410000,1,3-5,570000,0.41,0.31,570000,0.31,0.63,,,,,na
spr.27.3a4,2022,17000,3166,197909,94000,0,1-2,125000,,,,,,,,,0.69,90%
spr.27.7de,2022,17093,2957,169281,,,,,,,,,,,,,,NA
tur.27.3a,2022,17064,2969,169294,,,,,,,,,,,,,,95%
tur.27.4,2022,17033,2991,169295,2974,1,2-6,4163,0.856,0.361,6353,,,,,,,95%
usk.27.5a14,2022,17100,3007,169297,3400,1,7-10,4800,0.23,0.23,4800,0.23,0.44,,,,,95%
usk.27.6b,2022,17098,3070,169300,,,,,,,,,,,,,,NA
whb.27.1-91214,2022,17597,3126,169301,1500000,1,3-7,2250000,0.32,0.32,2250000,0.32,0.88,2.25,,,,95%
whg.27.3a,2022,17062,2947,169306,,,,,,,,,,,,,,NA
whg.27.47d,2022,17325,3191,169302,107146,0,,148888,0.473,0.393,148888,,0.935,,,,,95% CI
whg.27.6a,2022,17302,2949,169308,17286,0,1-3,25597,0.21,0.21,25597,,0.31,,,,,95%
whg.27.7b-ce-k,2022,17320,3206,169303,36571,0,2-5,50818,0.375,0.375,50818,,0.64,,,,,95%
wit.27.3a47d,2022,18119,3194,169309,3293,1,4-8,4576,0.267,0.163,4576,,0.331,,,,,95%
