AssessmentKey,Purpose,Year,StockDescription,ICES_Areas,SpeciesName,Report,Low_Recruitment,Recruitment,High_Recruitment,UnitOfRecruitment,RecruitmentDescription,Low_TBiomass,TBiomass,High_TBiomass,Low_StockSize,StockSize,High_StockSize,StockSizeDescription,StockSizeUnits,CatchesLandingsUnits,Landings,Discards,Low_FishingPressure,FishingPressure,High_FishingPressure,FishingPressureDescription,Published,StockKeyLabel,StockDatabaseID,StockKey,AssessmentYear,Fpa,Bpa,Blim,FMSY,MSYBtrigger,RecruitmentAge,FAge,ConfidenceIntervalDefinition
21016,Advice,1993,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 5365,10697,21327,thousands,Recruitment,16155,22431,31145,10296,13533,17789,SSB,tonnes,tonnes,10425,  NA,0.821,0.950,1.100,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1994,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,10901,21176,41136,thousands,Recruitment,17739,24300,33287,10717,13501,17007,SSB,tonnes,tonnes,10620,  NA,0.834,0.970,1.127,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1995,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 8536,16447,31692,thousands,Recruitment,18471,25738,35864,11060,14339,18591,SSB,tonnes,tonnes,11709,  NA,0.823,0.950,1.097,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1996,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 6274,12033,23079,thousands,Recruitment,18626,24797,33012,12509,15896,20201,SSB,tonnes,tonnes,12681,  NA,0.828,0.957,1.105,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1997,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 6547,12578,24164,thousands,Recruitment,17037,22259,29083,11622,14380,17792,SSB,tonnes,tonnes,12035,  NA,0.813,0.940,1.087,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1998,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 4076, 7839,15077,thousands,Recruitment,14563,19017,24834,10366,12813,15837,SSB,tonnes,tonnes,11431,  NA,0.831,0.959,1.107,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,1999,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 2246, 4292, 8202,thousands,Recruitment,11314,14321,18129, 8628,10579,12970,SSB,tonnes,tonnes, 8594,  NA,0.838,0.970,1.123,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2000,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 8910,16325,29910,thousands,Recruitment,10869,14673,19807, 6227, 7483, 8992,SSB,tonnes,tonnes, 6535,  NA,0.833,0.962,1.110,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2001,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 7799,14106,25515,thousands,Recruitment,13079,17982,24721, 6698, 8753,11438,SSB,tonnes,tonnes, 8309,  NA,0.848,0.977,1.126,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2002,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 3034, 5329, 9358,thousands,Recruitment,13168,16824,21494, 8979,11128,13792,SSB,tonnes,tonnes, 9235,  NA,0.858,0.992,1.148,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2003,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 2138, 3409, 5437,thousands,Recruitment, 9858,11770,14051, 7572, 8981,10652,SSB,tonnes,tonnes, 6221,  NA,0.853,0.974,1.114,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2004,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 3053, 4906, 7885,thousands,Recruitment, 6558, 7740, 9136, 4637, 5396, 6278,SSB,tonnes,tonnes, 4027, 543,0.847,0.958,1.083,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2005,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 5194, 7550,10976,thousands,Recruitment, 6280, 7406, 8733, 3626, 4176, 4809,SSB,tonnes,tonnes, 3478,1426,0.847,0.977,1.126,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2006,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 5292, 7829,11583,thousands,Recruitment, 8024, 9518,11290, 4658, 5449, 6373,SSB,tonnes,tonnes, 3902,2118,0.811,0.913,1.028,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2007,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 3984, 5820, 8502,thousands,Recruitment, 8689,10258,12110, 5589, 6548, 7671,SSB,tonnes,tonnes, 4842,1248,0.796,0.896,1.010,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2008,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 1520, 2234, 3282,thousands,Recruitment, 7844, 9191,10770, 5694, 6653, 7774,SSB,tonnes,tonnes, 4577, 306,0.770,0.871,0.987,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2009,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 3535, 5169, 7557,thousands,Recruitment, 7120, 8324, 9733, 4588, 5348, 6235,SSB,tonnes,tonnes, 4187,1229,0.768,0.868,0.982,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2010,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,16588,23612,33609,thousands,Recruitment,11099,13608,16684, 4612, 5355, 6217,SSB,tonnes,tonnes, 3831,3040,0.740,0.849,0.974,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2011,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 6243, 9013,13012,thousands,Recruitment,13688,16404,19658, 7552, 8953,10614,SSB,tonnes,tonnes, 6376,3749,0.743,0.852,0.978,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2012,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 1186, 1726, 2513,thousands,Recruitment,14502,17164,20315,11450,13701,16394,SSB,tonnes,tonnes, 9443,2341,0.806,0.905,1.015,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2013,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 1607, 2358, 3460,thousands,Recruitment,10236,11883,13794, 8543,10080,11893,SSB,tonnes,tonnes, 7273, 562,0.832,0.950,1.085,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2014,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 8009,11680,17034,thousands,Recruitment, 9410,11229,13400, 5354, 6242, 7278,SSB,tonnes,tonnes, 4512,1569,0.801,0.913,1.041,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2015,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,  753, 1109, 1633,thousands,Recruitment, 7835, 9435,11362, 5437, 6377, 7479,SSB,tonnes,tonnes, 5028, 483,0.824,0.938,1.069,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2016,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 1568, 2297, 3366,thousands,Recruitment, 6432, 7611, 9006, 4658, 5611, 6760,SSB,tonnes,tonnes, 3924, 525,0.870,0.986,1.117,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2017,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,  473,  706, 1052,thousands,Recruitment, 3283, 3872, 4566, 2607, 3102, 3692,SSB,tonnes,tonnes, 2471, 134,0.969,1.108,1.267,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2018,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,  865, 1279, 1891,thousands,Recruitment, 2057, 2377, 2747, 1441, 1673, 1943,SSB,tonnes,tonnes, 1496, 316,1.002,1.145,1.308,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2019,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1, 2252, 3271, 4752,thousands,Recruitment, 2100, 2569, 3143,  927, 1077, 1251,SSB,tonnes,tonnes, 1050, 300,1.005,1.137,1.287,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2020,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,  726, 1066, 1565,thousands,Recruitment, 1936, 2369, 2899, 1054, 1274, 1539,SSB,tonnes,tonnes,  922, 231,0.916,1.064,1.236,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2021,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,  293,  436,  649,thousands,Recruitment, 1306, 1545, 1826,  941, 1126, 1348,SSB,tonnes,tonnes,  628, 733,0.986,1.141,1.320,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2022,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,  583,  871, 1300,thousands,Recruitment, 1156, 1370, 1624,  682,  803,  945,SSB,tonnes,tonnes,  573,  86,0.946,1.104,1.287,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2023,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,   64,  102,  163,thousands,Recruitment,  673,  808,  968,  475,  562,  665,SSB,tonnes,tonnes,  445,  13,0.875,1.067,1.301,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2024,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,   47,  101,  215,thousands,Recruitment,  373,  478,  613,  289,  366,  464,SSB,tonnes,tonnes,  250,  23,0.805,1.048,1.364,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
21016,Advice,2025,Cod (Gadus morhua) in divisions 7.e–k (western English Channel and southern Celtic Seas),27.7.e ~ 27.7.f ~ 27.7.g ~ 27.7.h ~ 27.7.j.1 ~ 27.7.j.2 ~ 27.7.k.1 ~ 27.7.k.2,Gadus morhua,https://doi.org/10.17895/ices.advice.27202578.v1,  101,  871, 3271,thousands,Recruitment,   NA,   NA,   NA,  132,  212,  327,SSB,tonnes,tonnes,   NA,  NA,   NA,   NA,   NA,F,True,cod.27.7e-k,3854,169078,2025,0.77,5800,4200,0.29,5800,1,2-5,95%
